% training data for ChePai －不想分析的数据类型设置为string
%
@relation 'ChePai'
@attribute Date string
@attribute LicenseCount numeric
@attribute LowPrice string
@attribute AvgPrice string
@attribute Time string
@attribute NOn string
@attribute PeopleCount numeric
@attribute WarningPrice numeric
@attribute radio numeric
@attribute LowestDistance numeric
@attribute AvgDistance string
@data
%拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截至时间,n,投标人数,警示价格,投标人数/投放数量,最低成交价-警示价格,平均成交价-警示价格
%2013_1,9000,75000,75332,29.40,65,20857,0,2.317444444,75000,75332
%2013_2,9000,83300,83571,29.59,113,24651,0,2.739,83300,83571
%2013_3,9000,90800,91898,29.44,1,23589,0,2.621,90800,91898
2013_4,11000,83900,84101,27.04,3,26174,83600,2.379454545,300,501
2013_5,9000,80700,80803,29.26,4,22224,79900,2.469333333,800,903
2013_6,9000,77600,77823,21.22,1,21482,77300,2.386888889,300,523
2013_7,9000,76300,76465,29.22,933,21811,75400,2.423444444,900,1065
2013_8,9000,74700,74939,29.24,30,22650,74100,2.516666667,600,839
2013_9,9000,73400,73492,29.54,96,35154,72600,3.906,800,892
%2013_10,10000,82300,83723,29.56,309,28887,0,2.8887,82300,83723
2013_11,8500,75500,75717,29.34,5,38220,74900,4.496470588,600,817
2013_12,8500,76000,76093,29.50,13,39625,74900,4.661764706,1100,1193
2014_1,8100,73500,73501,29.59,158,41946,72600,5.178518519,900,901
2014_2,7400,73200,73357,29.44,347,45758,72600,6.183513514,600,757
2014_3,7400,73800,73872,29.48,259,61853,72600,8.358513514,1200,1272
2014_4,8200,74000,74113,29.45,44,94241,72600,11.49280488,1400,1513
2014_5,7400,74400,74503,29.48,219,114121,72600,15.42175676,1800,1903
2014_6,7400,73800,73896,29.45,238,135677,72600,18.33472973,1200,1296
2014_7,7400,74600,74680,29.59,23,136098,72600,18.39162162,2000,2080
2014_8,7400,73600,73785,29.44,53,121550,72600,16.42567568,1000,1185
2014_9,8300,73800,73875,29.52,183,122219,72600,14.72518072,1200,1275
2014_10,7400,74000,74075,29.59,30,105532,72600,14.26108108,1400,1475
2014_11,7400,73500,73633,29.50,77,95595,72600,12.91824324,900,1033
2014_12,7447,73600,73687,29.56,628,96972,72600,13.02161944,1000,1087
%2015_1,7990,74000,74216,02.48,2,98203,73700,12.29073842,300,516
2015_2,7653,76500,76618,29.49,73,103224,73700,13.4880439,2800,2918
2015_3,7406,74600,74830,20.16,6,132690,73700,17.91655415,900,1130
2015_4,8288,80600,80759,29.41,115,152298,75200,18.37572394,5400,5559
2015_5,7482,79000,79099,29:53,20,156007,75200,20.85097567,3800,3899

